iter	RMSE
0	1.655966288
1	1.626213745
2	1.5992252
3	1.575329791
4	1.55218015
5	1.531408391
6	1.514041401
7	1.49571698
8	1.480012375
9	1.465728384
10	1.451329699
11	1.438202202
12	1.427023309
13	1.415098266
14	1.404699891
15	1.395140512
16	1.387128569
17	1.379062869
18	1.372511816
19	1.364956269
20	1.358081468
21	1.351591813
22	1.345669512
23	1.340137638
24	1.335938595
25	1.332060022
26	1.326955803
27	1.322182653
28	1.318206211
29	1.314293878
30	1.310847911
31	1.307457104
32	1.304710975
33	1.301846534
34	1.299291946
35	1.29663485
36	1.294226435
37	1.29139775
38	1.2894927
39	1.287147869
40	1.285128828
41	1.283255648
42	1.280877366
43	1.278741006
44	1.277230338
45	1.275816851
46	1.273560699
47	1.272073218
48	1.270326723
49	1.268938336
50	1.26655271
51	1.264638828
52	1.263581706
53	1.262216349
54	1.260864675
55	1.259572439
56	1.258442629
57	1.25631571
58	1.255682343
59	1.254410914
60	1.253068102
61	1.251795945
62	1.25033146
63	1.249114071
64	1.247601117
65	1.246694755
66	1.245515279
67	1.244488918
68	1.243212787
69	1.242741114
70	1.241598813
71	1.240853869
72	1.240204582
73	1.23853526
74	1.237346529
75	1.236004504
76	1.235168111
77	1.234241228
78	1.233286457
79	1.232246962
80	1.231094074
81	1.230308077
82	1.229686114
83	1.228852099
84	1.227721736
85	1.227157104
86	1.226425006
87	1.225485256
88	1.224616015
89	1.223695641
90	1.222588069
91	1.221724687
92	1.221033971
93	1.220213843
94	1.219472857
95	1.218692273
96	1.218200233
97	1.217245372
98	1.21643133
99	1.215315337
100	1.21458474
101	1.21414754
102	1.212980492
103	1.212319989
104	1.211466121
105	1.210844834
106	1.210313654
107	1.209869213
108	1.209269379
109	1.208589677
110	1.207717455
111	1.206935176
112	1.205703136
113	1.205201977
114	1.204972856
115	1.204468373
116	1.203851071
117	1.203564358
118	1.203055147
119	1.202582593
120	1.202185294
121	1.201613281
122	1.200834678
123	1.200192923
124	1.199251116
125	1.198829015
126	1.198017614
127	1.197513692
128	1.196852066
129	1.195936195
130	1.195390494
131	1.194295409
132	1.193634901
133	1.192977578
134	1.192435021
135	1.191694664
136	1.191071068
137	1.190615629
138	1.18982327
139	1.189355913
140	1.188441385
141	1.187768938
142	1.187271254
143	1.186854923
144	1.186030359
145	1.18548153
146	1.184842116
147	1.184309096
148	1.183884311
149	1.183344419
150	1.182657562
151	1.182172142
152	1.181528684
153	1.180744939
154	1.180248361
155	1.179784127
156	1.179052097
157	1.178617495
158	1.178224103
159	1.17709983
160	1.176465098
161	1.17608403
162	1.175267583
163	1.174389063
164	1.17378723
165	1.173192021
166	1.172866804
167	1.172393356
168	1.172019513
169	1.171557443
170	1.170657261
171	1.170260651
172	1.16991521
173	1.169499723
174	1.169071673
175	1.168498444
176	1.168030246
177	1.167437025
178	1.166918721
179	1.166451742
180	1.16568084
181	1.165042444
182	1.164250228
183	1.163805084
184	1.16343493
185	1.162985356
186	1.162237014
187	1.16180225
188	1.161322004
189	1.160531968
190	1.159964164
191	1.159331418
192	1.158870395
193	1.158441851
194	1.157990635
195	1.157421993
196	1.156501404
197	1.156110312
198	1.155621976
199	1.155196064
200	1.154604902
201	1.154236621
202	1.153721912
203	1.153363809
204	1.153086527
205	1.152764648
206	1.152392975
207	1.151942099
208	1.151212859
209	1.150448679
210	1.149847194
211	1.149038099
212	1.148309208
213	1.147769315
214	1.147534873
215	1.14694302
216	1.146365694
217	1.145833156
218	1.145247511
219	1.144598595
