iter	Passed	Remaining
0	462	461567
1	485	242396
2	504	167635
3	521	129773
4	537	106985
5	554	91826
6	570	80989
7	587	72872
8	604	66565
9	621	61545
10	639	57455
11	659	54266
12	675	51295
13	692	48774
14	709	46577
15	726	44688
16	742	42958
17	759	41446
18	776	40096
19	794	38913
20	812	37897
21	829	36871
22	846	35942
23	862	35081
24	880	34329
25	896	33602
26	914	32946
27	930	32314
28	948	31761
29	968	31302
30	984	30775
31	1000	30277
32	1017	29817
33	1036	29455
34	1052	29030
35	1075	28806
36	1092	28428
37	1109	28079
38	1150	28360
39	1174	28182
40	1191	27867
41	1228	28017
42	1256	27967
43	1314	28550
44	1345	28553
45	1371	28442
46	1394	28276
47	1410	27982
48	1428	27731
49	1445	27469
50	1462	27217
51	1480	26985
52	1496	26746
53	1513	26511
54	1529	26283
55	1546	26066
56	1562	25855
57	1580	25671
58	1597	25486
59	1615	25309
60	1631	25120
61	1648	24934
62	1664	24761
63	1681	24593
64	1713	24642
65	1753	24821
66	1789	24923
67	1816	24901
68	1837	24788
69	1853	24620
70	1870	24470
71	1886	24319
72	1907	24218
73	1923	24071
74	1940	23929
75	1956	23791
76	1973	23656
77	1990	23529
78	2006	23396
79	2023	23265
80	2039	23144
81	2056	23022
82	2075	22933
83	2113	23050
84	2157	23221
85	2187	23245
86	2225	23358
87	2247	23289
88	2265	23188
89	2287	23129
90	2306	23036
91	2326	22962
92	2342	22847
93	2359	22745
94	2376	22639
95	2393	22536
96	2409	22430
97	2427	22339
98	2443	22241
99	2460	22142
100	2493	22192
101	2541	22376
102	2574	22422
103	2599	22392
104	2616	22302
105	2633	22209
106	2650	22116
107	2666	22023
108	2683	21933
109	2699	21842
110	2716	21755
111	2737	21706
112	2754	21620
113	2770	21535
114	2787	21451
115	2804	21369
116	2821	21290
117	2838	21213
118	2854	21135
119	2889	21187
120	2913	21162
121	2933	21112
122	2954	21063
123	2970	20988
124	3000	21004
125	3022	20962
126	3040	20900
127	3060	20847
128	3077	20776
129	3107	20797
130	3127	20745
131	3144	20677
132	3166	20641
133	3182	20569
134	3199	20501
135	3217	20442
136	3243	20433
137	3261	20372
138	3283	20337
139	3299	20269
140	3316	20202
141	3333	20141
142	3350	20077
143	3367	20017
144	3386	19967
145	3402	19904
146	3419	19841
147	3436	19782
148	3461	19772
149	3507	19876
150	3528	19841
151	3546	19787
152	3563	19729
153	3580	19669
154	3609	19677
155	3634	19663
156	3651	19605
157	3672	19568
158	3689	19515
159	3706	19459
160	3723	19402
161	3739	19342
162	3755	19285
163	3772	19231
164	3789	19176
165	3805	19120
166	3826	19084
167	3842	19028
168	3859	18975
169	3875	18923
170	3892	18869
171	3908	18817
172	3924	18761
173	3941	18708
174	3957	18656
175	3973	18603
176	3989	18550
177	4006	18501
178	4022	18448
179	4038	18398
180	4055	18350
181	4072	18302
182	4101	18311
183	4122	18280
184	4142	18249
185	4159	18202
186	4175	18153
187	4208	18175
188	4229	18150
189	4248	18110
190	4265	18065
191	4281	18017
192	4297	17971
193	4313	17923
194	4330	17877
195	4347	17834
196	4365	17792
197	4382	17750
198	4398	17703
199	4415	17660
200	4431	17617
201	4448	17573
202	4464	17528
203	4480	17483
204	4497	17441
205	4518	17414
206	4534	17371
207	4551	17329
208	4567	17286
209	4596	17291
210	4618	17269
211	4636	17232
212	4656	17204
213	4672	17162
214	4688	17120
215	4706	17084
216	4723	17042
217	4739	17002
218	4756	16963
219	4787	16974
220	4812	16963
221	4829	16925
222	4845	16883
223	4862	16844
224	4878	16805
225	4898	16776
226	4914	16735
227	4931	16696
228	4947	16658
229	4964	16620
230	5000	16645
231	5018	16613
232	5035	16576
233	5053	16541
234	5069	16502
235	5085	16464
236	5102	16428
237	5122	16400
238	5139	16363
239	5179	16401
240	5199	16374
241	5223	16360
242	5242	16330
243	5259	16294
244	5276	16259
245	5293	16226
246	5310	16189
247	5326	16151
248	5343	16117
249	5362	16088
250	5380	16055
251	5396	16017
252	5413	15982
253	5430	15948
254	5446	15913
255	5469	15894
256	5486	15860
257	5502	15825
258	5519	15790
259	5535	15754
260	5551	15719
261	5569	15687
262	5594	15677
263	5627	15689
264	5659	15698
265	5714	15768
266	5742	15765
267	5769	15759
268	5800	15761
269	5830	15763
270	5861	15768
271	5892	15772
272	5920	15767
273	5947	15759
274	5978	15762
275	6009	15764
276	6039	15764
277	6074	15777
278	6105	15777
279	6138	15783
280	6157	15754
281	6180	15736
282	6197	15700
283	6213	15666
284	6229	15629
285	6246	15594
286	6263	15560
287	6280	15527
288	6297	15492
289	6313	15457
290	6333	15431
291	6350	15397
292	6367	15364
293	6384	15332
294	6401	15298
295	6418	15264
296	6435	15232
297	6453	15201
298	6470	15170
299	6487	15136
300	6503	15102
301	6520	15070
302	6537	15038
303	6553	15004
304	6570	14972
305	6592	14951
306	6609	14918
307	6624	14884
308	6642	14853
309	6658	14820
310	6675	14788
311	6691	14754
312	6707	14723
313	6724	14691
314	6746	14670
315	6762	14637
316	6779	14607
317	6797	14578
318	6814	14547
319	6833	14521
320	6850	14489
321	6867	14459
322	6884	14429
323	6902	14400
324	6920	14373
325	6937	14342
326	6954	14313
327	6971	14284
328	6988	14252
329	7005	14222
330	7021	14190
331	7043	14172
332	7060	14141
333	7076	14111
334	7093	14080
335	7114	14059
336	7131	14030
337	7153	14011
338	7170	13981
339	7186	13950
340	7202	13920
341	7219	13890
342	7237	13862
343	7253	13832
344	7269	13802
345	7286	13773
346	7303	13744
347	7320	13715
348	7337	13686
349	7353	13656
350	7369	13626
351	7385	13596
352	7402	13568
353	7419	13540
354	7436	13511
355	7453	13482
356	7469	13453
357	7485	13424
358	7501	13394
359	7518	13366
360	7535	13338
361	7554	13313
362	7573	13290
363	7589	13260
364	7605	13232
365	7623	13205
366	7645	13186
367	7661	13157
368	7677	13129
369	7694	13100
370	7716	13082
371	7733	13054
372	7749	13027
373	7767	13000
374	7783	12972
375	7799	12944
376	7816	12917
377	7833	12890
378	7850	12862
379	7865	12833
380	7895	12827
381	7911	12799
382	7928	12772
383	7944	12744
384	7961	12717
385	7979	12692
386	7995	12664
387	8017	12645
388	8034	12619
389	8050	12591
390	8066	12563
391	8086	12542
392	8104	12516
393	8125	12497
394	8144	12474
395	8160	12446
396	8177	12420
397	8193	12392
398	8209	12365
399	8226	12339
400	8243	12313
401	8260	12287
402	8277	12262
403	8294	12236
404	8311	12210
405	8332	12191
406	8349	12165
407	8366	12139
408	8383	12113
409	8399	12087
410	8416	12061
411	8433	12036
412	8452	12013
413	8471	11991
414	8487	11964
415	8505	11940
416	8521	11914
417	8537	11887
418	8556	11864
419	8572	11837
420	8588	11811
421	8609	11792
422	8626	11767
423	8642	11741
424	8660	11717
425	8677	11691
426	8696	11670
427	8712	11644
428	8729	11619
429	8746	11594
430	8762	11568
431	8779	11542
432	8796	11519
433	8816	11497
434	8833	11472
435	8849	11448
436	8866	11423
437	8883	11397
438	8899	11372
439	8920	11353
440	8937	11329
441	8954	11304
442	8971	11279
443	8993	11262
444	9013	11241
445	9030	11216
446	9046	11191
447	9063	11167
448	9082	11146
449	9100	11122
450	9117	11098
451	9133	11073
452	9150	11048
453	9166	11024
454	9182	10999
455	9199	10974
456	9217	10952
457	9235	10929
458	9252	10905
459	9269	10881
460	9285	10856
461	9301	10831
462	9318	10808
463	9335	10784
464	9352	10760
465	9369	10736
466	9385	10712
467	9403	10689
468	9420	10665
469	9439	10644
470	9457	10622
471	9474	10599
472	9491	10574
473	9508	10551
474	9524	10527
475	9541	10503
476	9558	10480
477	9579	10461
478	9595	10437
479	9611	10412
480	9628	10389
481	9646	10366
482	9663	10344
483	9679	10319
484	9696	10296
485	9713	10272
486	9730	10249
487	9746	10226
488	9768	10208
489	9785	10185
490	9801	10161
491	9818	10137
492	9834	10113
493	9852	10091
494	9872	10071
495	9889	10048
496	9906	10025
497	9923	10003
498	9940	9979
499	9961	9961
500	9981	9942
501	10010	9930
502	10027	9907
503	10044	9884
504	10060	9861
505	10077	9838
506	10093	9815
507	10110	9791
508	10126	9768
509	10142	9745
510	10158	9721
511	10176	9699
512	10193	9677
513	10210	9654
514	10227	9631
515	10243	9608
516	10260	9585
517	10277	9562
518	10294	9540
519	10311	9517
520	10328	9495
521	10344	9472
522	10361	9450
523	10377	9427
524	10399	9408
525	10416	9386
526	10432	9363
527	10450	9341
528	10466	9319
529	10483	9296
